seed,arm,ssl_epoch,group_name,group_id,group_count,group_accuracy
3,simclr,500,"(target,context)=(0,0)",0,467,47.32334017753601
3,simclr,500,"(target,context)=(0,1)",1,466,56.223177909851074
3,simclr,500,"(target,context)=(1,0)",2,133,51.879698038101196
3,simclr,500,"(target,context)=(1,1)",3,133,59.39849615097046
3,crp_sampler_only,500,"(target,context)=(0,0)",0,467,45.396146178245544
3,crp_sampler_only,500,"(target,context)=(0,1)",1,466,48.49785268306732
3,crp_sampler_only,500,"(target,context)=(1,0)",2,133,57.894736528396606
3,crp_sampler_only,500,"(target,context)=(1,1)",3,133,64.6616518497467
3,raw_clip_kl,500,"(target,context)=(0,0)",0,467,38.75803053379059
3,raw_clip_kl,500,"(target,context)=(0,1)",1,466,56.223177909851074
3,raw_clip_kl,500,"(target,context)=(1,0)",2,133,62.406015396118164
3,raw_clip_kl,500,"(target,context)=(1,1)",3,133,55.639100074768066
3,raw_clip_sampler_only,500,"(target,context)=(0,0)",0,467,40.042826533317566
3,raw_clip_sampler_only,500,"(target,context)=(0,1)",1,466,52.57510542869568
3,raw_clip_sampler_only,500,"(target,context)=(1,0)",2,133,60.90225577354431
3,raw_clip_sampler_only,500,"(target,context)=(1,1)",3,133,65.41353464126587
3,splice_crp_kl,500,"(target,context)=(0,0)",0,467,40.899357199668884
3,splice_crp_kl,500,"(target,context)=(0,1)",1,466,46.35193049907684
3,splice_crp_kl,500,"(target,context)=(1,0)",2,133,59.39849615097046
3,splice_crp_kl,500,"(target,context)=(1,1)",3,133,63.90977501869202
4,simclr,500,"(target,context)=(0,0)",0,467,53.747326135635376
4,simclr,500,"(target,context)=(0,1)",1,466,50.4291832447052
4,simclr,500,"(target,context)=(1,0)",2,133,46.61654233932495
4,simclr,500,"(target,context)=(1,1)",3,133,70.67669034004211
4,crp_sampler_only,500,"(target,context)=(0,0)",0,467,59.314775466918945
4,crp_sampler_only,500,"(target,context)=(0,1)",1,466,54.72102761268616
4,crp_sampler_only,500,"(target,context)=(1,0)",2,133,52.63158082962036
4,crp_sampler_only,500,"(target,context)=(1,1)",3,133,66.91729426383972
4,raw_clip_kl,500,"(target,context)=(0,0)",0,467,50.53533315658569
4,raw_clip_kl,500,"(target,context)=(0,1)",1,466,48.06866943836212
4,raw_clip_kl,500,"(target,context)=(1,0)",2,133,53.38345766067505
4,raw_clip_kl,500,"(target,context)=(1,1)",3,133,64.6616518497467
4,raw_clip_sampler_only,500,"(target,context)=(0,0)",0,467,51.39186382293701
4,raw_clip_sampler_only,500,"(target,context)=(0,1)",1,466,46.35193049907684
4,raw_clip_sampler_only,500,"(target,context)=(1,0)",2,133,56.390976905822754
4,raw_clip_sampler_only,500,"(target,context)=(1,1)",3,133,63.15789222717285
4,splice_crp_kl,500,"(target,context)=(0,0)",0,467,52.89078950881958
4,splice_crp_kl,500,"(target,context)=(0,1)",1,466,53.64806652069092
4,splice_crp_kl,500,"(target,context)=(1,0)",2,133,46.61654233932495
4,splice_crp_kl,500,"(target,context)=(1,1)",3,133,65.41353464126587
