representation,design,subset_seed,l2,train_count,feature_dim,avg,wga,train_avg,converged,gradient_max,group_0_accuracy,group_0_count,group_1_accuracy,group_1_count,group_2_accuracy,group_2_count,group_3_accuracy,group_3_count,seed,arm
clip,original_ds_train,0,0.001,224,512,79.81651425361633,75.37473440170288,100.0,True,9.872259906042471e-08,75.3747329711914,467,81.5450668334961,466,87.21804809570312,133,81.95488739013672,133,,
clip,original_ds_train,0,0.01,224,512,79.98331785202026,75.80299973487854,100.0,True,5.6230438701948137e-08,75.8030014038086,467,81.33047485351562,466,87.21804809570312,133,82.7067642211914,133,,
clip,full_train_unbalanced,0,0.001,4795,512,80.90075254440308,52.63158082962036,99.4577705860138,True,9.368583754941842e-08,97.64453887939453,467,69.52789306640625,466,52.6315803527832,133,90.2255630493164,133,,
clip,full_train_unbalanced,0,0.01,4795,512,81.90158605575562,51.879698038101196,98.43587279319763,True,9.185374212519574e-08,98.50106811523438,467,70.38626861572266,466,51.87969970703125,133,93.9849624633789,133,,
clip,resampled_14_per_group,101,0.001,56,512,79.482901096344,76.69172883033752,100.0,True,7.38457887157815e-08,79.65738677978516,467,78.11158752441406,466,76.69172668457031,133,86.4661636352539,133,,
clip,resampled_14_per_group,101,0.01,56,512,79.89991903305054,77.44361162185669,100.0,True,9.997408315955136e-08,80.08565521240234,467,78.540771484375,466,77.44361114501953,133,86.4661636352539,133,,
clip,resampled_14_per_group,102,0.001,56,512,81.81818127632141,74.43609237670898,100.0,True,9.176368960638878e-08,83.29764556884766,467,80.25750732421875,466,74.43609619140625,133,89.47368621826172,133,,
clip,resampled_14_per_group,102,0.01,56,512,82.15179443359375,75.18796920776367,100.0,True,7.813913952064652e-08,83.72591400146484,467,80.47210693359375,466,75.18797302246094,133,89.47368621826172,133,,
clip,resampled_14_per_group,103,0.001,56,512,80.81734776496887,77.44361162185669,100.0,True,4.1575386938082237e-08,81.58458709716797,467,79.82833099365234,466,77.44361114501953,133,84.96240234375,133,,
clip,resampled_14_per_group,103,0.01,56,512,80.48373460769653,76.69172883033752,100.0,True,7.233705368763551e-08,81.37045288085938,467,79.39913940429688,466,76.69172668457031,133,84.96240234375,133,,
clip,resampled_28_per_group,101,0.001,112,512,83.9032530784607,80.45112490653992,100.0,True,1.8390039633510847e-08,85.86724090576172,467,82.40343475341797,466,80.45112609863281,133,85.71428680419922,133,,
clip,resampled_28_per_group,101,0.01,112,512,84.23686623573303,80.45112490653992,100.0,True,9.701757165419698e-08,86.50963592529297,467,82.40343475341797,466,80.45112609863281,133,86.4661636352539,133,,
clip,resampled_28_per_group,102,0.001,112,512,82.65221118927002,75.18796920776367,100.0,True,7.638998487064728e-08,84.3683090209961,467,81.97425079345703,466,75.18797302246094,133,86.4661636352539,133,,
clip,resampled_28_per_group,102,0.01,112,512,82.98582434654236,75.93985199928284,100.0,True,9.181014812105676e-08,84.3683090209961,467,82.40343475341797,466,75.93984985351562,133,87.21804809570312,133,,
clip,resampled_28_per_group,103,0.001,112,512,81.90158605575562,80.08565306663513,100.0,True,8.609655846037037e-08,80.08565521240234,467,80.47210693359375,466,82.7067642211914,133,92.481201171875,133,,
clip,resampled_28_per_group,103,0.01,112,512,82.06838965415955,80.08565306663513,100.0,True,9.85596072631417e-08,80.08565521240234,467,80.90129089355469,466,82.7067642211914,133,92.481201171875,133,,
clip,resampled_56_per_group,101,0.001,224,512,86.1551284790039,81.20300769805908,100.0,True,9.893863143423999e-08,85.86724090576172,467,86.90987396240234,466,81.20301055908203,133,89.47368621826172,133,,
clip,resampled_56_per_group,101,0.01,224,512,86.40533685684204,81.20300769805908,100.0,True,8.691837652288585e-08,86.29550170898438,467,86.69527435302734,466,81.20301055908203,133,90.9774398803711,133,,
clip,resampled_56_per_group,102,0.001,224,512,84.82068181037903,82.70676732063293,100.0,True,8.100996445287875e-08,83.72591400146484,467,85.8369140625,466,82.7067642211914,133,87.21804809570312,133,,
clip,resampled_56_per_group,102,0.01,224,512,85.98832488059998,83.45864415168762,100.0,True,7.713113423662727e-08,85.01070404052734,467,87.12445831298828,466,83.4586410522461,133,87.96992492675781,133,,
clip,resampled_56_per_group,103,0.001,224,512,82.06838965415955,79.18455004692078,100.0,True,8.184236503116409e-08,82.65524291992188,467,79.1845474243164,466,81.20301055908203,133,90.9774398803711,133,,
clip,resampled_56_per_group,103,0.01,224,512,82.40200281143188,79.18455004692078,100.0,True,9.287777584575472e-08,83.51177215576172,467,79.1845474243164,466,81.20301055908203,133,90.9774398803711,133,,
splice_codes,original_ds_train,0,0.001,224,20931,68.30692291259766,64.16308879852295,100.0,True,9.570868193046933e-08,67.45182037353516,467,64.1630859375,466,75.18797302246094,133,78.94737243652344,133,,
splice_codes,original_ds_train,0,0.01,224,20931,68.47372651100159,63.94850015640259,100.0,True,7.868721255919206e-08,67.88008880615234,467,63.94850158691406,466,75.18797302246094,133,79.69924926757812,133,,
splice_codes,full_train_unbalanced,0,0.001,4795,20931,78.31526398658752,39.849624037742615,100.0,True,8.069559107353656e-08,96.3597412109375,467,69.74249267578125,466,39.84962463378906,133,83.4586410522461,133,,
splice_codes,full_train_unbalanced,0,0.01,4795,20931,78.64887118339539,38.34586441516876,100.0,True,6.87402923334429e-08,97.00214385986328,467,70.17166900634766,466,38.345863342285156,133,84.21052551269531,133,,
splice_codes,resampled_14_per_group,101,0.001,56,20931,67.63970255851746,61.654132604599,100.0,True,6.684759419369314e-08,71.30621337890625,467,63.519309997558594,466,61.65413284301758,133,75.18797302246094,133,,
splice_codes,resampled_14_per_group,101,0.01,56,20931,67.80650615692139,61.654132604599,100.0,True,9.227300100432892e-09,71.52033996582031,467,63.73390579223633,466,61.65413284301758,133,75.18797302246094,133,,
splice_codes,resampled_14_per_group,102,0.001,56,20931,68.55713129043579,61.80257797241211,100.0,True,8.894530799875204e-08,74.73233032226562,467,61.80257797241211,466,69.17292785644531,133,69.92481231689453,133,,
splice_codes,resampled_14_per_group,102,0.01,56,20931,68.97414326667786,62.23176121711731,100.0,True,3.5554421536440227e-08,75.3747329711914,467,62.23176193237305,466,69.17292785644531,133,69.92481231689453,133,,
splice_codes,resampled_14_per_group,103,0.001,56,20931,69.22435164451599,62.406015396118164,100.0,True,4.7473746809420685e-08,71.09207153320312,467,68.4549331665039,466,62.40601348876953,133,72.18045043945312,133,,
splice_codes,resampled_14_per_group,103,0.01,56,20931,69.05754804611206,62.406015396118164,100.0,True,1.958276624221939e-08,70.87794494628906,467,68.24034118652344,466,62.40601348876953,133,72.18045043945312,133,,
splice_codes,resampled_28_per_group,101,0.001,112,20931,69.05754804611206,59.39849615097046,100.0,True,5.308584339650286e-08,73.87580108642578,467,66.95278930664062,466,59.398494720458984,133,69.17292785644531,133,,
splice_codes,resampled_28_per_group,101,0.01,112,20931,69.14095282554626,59.39849615097046,100.0,True,5.7767333962730535e-08,74.08993530273438,467,66.95278930664062,466,59.398494720458984,133,69.17292785644531,133,,
splice_codes,resampled_28_per_group,102,0.001,112,20931,70.64220309257507,64.6616518497467,100.0,True,3.139885387558664e-08,75.3747329711914,467,66.52360534667969,466,64.66165161132812,133,74.43609619140625,133,,
splice_codes,resampled_28_per_group,102,0.01,112,20931,70.809006690979,64.6616518497467,100.0,True,7.8971703321493e-08,75.3747329711914,467,66.95278930664062,466,64.66165161132812,133,74.43609619140625,133,,
splice_codes,resampled_28_per_group,103,0.001,112,20931,68.05671453475952,63.94850015640259,100.0,True,9.257197302548854e-08,70.02141571044922,467,63.94850158691406,466,67.66917419433594,133,75.93984985351562,133,,
splice_codes,resampled_28_per_group,103,0.01,112,20931,67.80650615692139,63.30472230911255,100.0,True,7.255063114351376e-08,70.02141571044922,467,63.30472183227539,466,67.66917419433594,133,75.93984985351562,133,,
splice_codes,resampled_56_per_group,101,0.001,224,20931,72.14345335960388,69.09871101379395,100.0,True,6.498181201723701e-08,73.66167449951172,467,69.09870910644531,466,74.43609619140625,133,75.18797302246094,133,,
