seed,arm,ssl_epoch,group_name,group_id,group_count,group_accuracy
1,splice_crp_kl,500,"(target,context)=(0,0)",0,467,45.396146178245544
1,splice_crp_kl,500,"(target,context)=(0,1)",1,466,50.64377784729004
1,splice_crp_kl,500,"(target,context)=(1,0)",2,133,56.390976905822754
1,splice_crp_kl,500,"(target,context)=(1,1)",3,133,68.42105388641357
1,raw_clip_kl,500,"(target,context)=(0,0)",0,467,49.46466684341431
1,raw_clip_kl,500,"(target,context)=(0,1)",1,466,57.29613900184631
1,raw_clip_kl,500,"(target,context)=(1,0)",2,133,54.135340452194214
1,raw_clip_kl,500,"(target,context)=(1,1)",3,133,55.639100074768066
2,splice_crp_kl,500,"(target,context)=(0,0)",0,467,43.89721751213074
2,splice_crp_kl,500,"(target,context)=(0,1)",1,466,47.85407781600952
2,splice_crp_kl,500,"(target,context)=(1,0)",2,133,57.14285969734192
2,splice_crp_kl,500,"(target,context)=(1,1)",3,133,66.16541147232056
2,raw_clip_kl,500,"(target,context)=(0,0)",0,467,48.82226884365082
2,raw_clip_kl,500,"(target,context)=(0,1)",1,466,47.85407781600952
2,raw_clip_kl,500,"(target,context)=(1,0)",2,133,47.36842215061188
2,raw_clip_kl,500,"(target,context)=(1,1)",3,133,63.90977501869202
