seed,arm,weight,avg,wga
1,splice_crp_kl,0.2,51.20934247970581,45.396146178245544
1,raw_clip_kl,0.2,53.71142625808716,49.46466684341431
2,splice_crp_kl,0.2,49.37447905540466,43.89721751213074
2,raw_clip_kl,0.2,49.9582976102829,47.36842215061188
1,splice_crp_kl,0.5,55.79649806022644,51.6059935092926
1,raw_clip_kl,0.5,50.3753125667572,44.3254828453064
2,splice_crp_kl,0.5,53.29441428184509,50.0
2,raw_clip_kl,0.5,49.45788085460663,46.56652212142944
1,simclr,0.0,50.291907787323,44.539615511894226
1,crp_sampler_only,0.0,49.87489581108093,43.25481653213501
1,raw_clip_kl,2.0,53.127604722976685,45.396146178245544
1,splice_crp_kl,2.0,51.37614607810974,46.89507484436035
2,simclr,0.0,51.959967613220215,43.68308484554291
2,crp_sampler_only,0.0,52.21017599105835,48.28326106071472
2,raw_clip_kl,2.0,51.79315805435181,48.17987084388733
2,splice_crp_kl,2.0,51.959967613220215,49.25053417682648
1,raw_clip_sampler_only,0.0,54.0450394153595,46.25267684459686
2,raw_clip_sampler_only,0.0,48.45704734325409,44.420599937438965
